G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-27403.3714,-137.3667,261.376,2.41379,-0.61679,0.76484,-0.30861,0.21183,-0.83537,275.9462,405.8174133,10.979,15.565
-26861.3031,199.5814,305.806,4.89638,-1.09115,0.31653,-0.39038,0.23369,-1.42973,239.3138,489.1960144,12.055,14.924
-25588.9035,-154.1965,237.047,4.52491,-2.05145,0.68531,-0.7537,1.12869,-1.16733,257.4376,379.1217346,10.226,16.491
-22186.832,-292.5737,205.124,0.00140052,-0.44262,-0.18329,-0.22132,0.08101,-0.44262,184.194,367.7046509,11.778,13.982
-28227.4501,-37.3508,351.209,2.51476,-0.35168,0.07776,-0.35168,0.26848,-1.26722,331.2006,512.3446045,11.694,15.199
-23216.4116,-61.9447,219.915,2.41185,0,-0.5197,-0.12246,0.0796,-0.12246,188.6561,385.3089905,11.774,14.541
-25354.3048,-679.279,222.431,6.96643,-1.84991,-0.59383,-0.76381,1.94253,-0.38827,230.256,389.1110535,10.146,14.991
-22852.0226,42.7647,196.629,3.67177,-1.2214,1.01472,-0.45963,0.39143,-1.73473,160.1724,368.3148193,13.127,15.93
-22949.8662,-76.6448,183.267,3.89711,-0.75799,0.04698,-0.37947,0.52629,-0.37636,192.0012,326.0992737,10.573,15.797
-20164.9668,74.8159,144.649,2.60686,0,0.01785,-0.31267,0.09039,-0.31267,107.1548,287.8059998,12.157,15.168
-28723.1102,-30.7276,325.812,3.48499,-1.43951,1.06914,-0.37105,0.67697,-1.74104,322.2433,477.0557861,10.47,15.563
-28365.1962,-40.0089,308.761,1.40906,-0.13566,0.2087,-0.13566,0.12646,-0.51253,340.4201,461.7752991,10.833,14.997
-26887.0602,846.8205,288.791,3.19792,-2.26005,-0.64783,-0.78093,1.94492,-0.60974,283.3164,469.9644165,10.412,15.091
-30072.7659,584.7653,344.625,1.36133,-1.26165,1.77799,-0.48302,0.53906,-2.53178,330.17,549.4558105,11.547,15.349
-28047.6038,-101.7301,309.616,8.60469,-0.39452,1.09673,-0.39452,0.66229,-1.84694,312.1183,475.7996216,11.622,14.767
-31879.6564,-37.2796,373.945,9.24553,-2.79707,0.27139,-0.81769,1.68269,-1.78275,356.2202,554.6566162,10.711,15.463
-28705.2254,-170.5204,336.876,5.07182,-1.05186,0.87728,-0.45109,0.43705,-1.4257,265.3516,558.2868652,11.71,14.797
-25243.9626,65.8122,212.866,1.76315,-2.47936,0.3373,-0.37115,0.53416,-0.87843,229.1056,364.2069702,10.15,16.558
-26224.8145,57.135,292.934,2.35946,-1.13172,0.25459,-0.42964,0.38988,-1.30868,255.2726,469.7142944,11.637,14.599
-19094.2942,1.5866,144.275,1.27016,0,0.29928,-0.38838,0.14877,-0.38838,99.1754,284.8764954,15.067,15.469
-23857.1914,903.0764,184.847,5.19492,-1.95659,1.17759,-0.41284,0.44662,-1.95659,184.105,336.2214355,11.064,15.485
-16964.4873,7.4304,97.9943,5.05956,0,-0.07622,-0.16783,0.11053,-0.33559,80.089,226.7317352,11.818,16.284
-23651.9063,-69.8674,215.279,0.00496708,-0.58146,0.48628,-0.29079,0.19766,-0.76881,207.056,378.5614014,11.539,14.565
-21052.2606,37.6022,158.138,6.50485,-0.76862,-0.12975,-0.38576,0.51968,-0.24894,137.1378,304.9303894,11.033,15.383
-25004.466,158.9855,262.764,3.08957,0,1.86775,-0.46316,0.40555,-2.01097,213.3,435.1781616,12.105,15.134
-24763.7918,77.5351,266.584,5.01343,-0.5175,0.7694,-0.5175,0.50693,-1.30734,206.287,459.3612061,12.301,14.386
-32567.031,-9.0799,412.626,0.96603,-1.40078,1.03142,-0.39067,0.67458,-1.67803,421.7351,552.2970581,10.295,15.3
-26710.1591,228.8354,266.073,2.44007,-0.26885,1.82665,-0.51049,0.4271,-2.44475,211.2662,469.1613159,12.354,15.331
-24585.5206,38.5309,238.211,3.03581,-0.12342,0.65894,-0.42866,0.36184,-1.81252,215.214,415.0334167,11.937,14.405
-24519.8001,-97.0618,220.703,0.00379931,0,-0.1163,-0.03295,0.1061,-0.09578,393.6978,357.5531921,11.168,15.601
-19025.3648,-70.2838,129.106,0.00389226,-0.65668,-0.10952,-0.32837,0.23032,-0.65668,110.1122,272.7980347,12.156,14.752
-30235.3549,-88.0882,379.727,5.09391,-1.05129,0.84179,-0.45101,0.43704,-1.42516,293.4052,620.9702148,11.707,14.8
-35558.7999,34.1608,484.977,4.15948,-0.93042,0.35563,-0.41014,0.40204,-1.38654,434.2935,727.7011108,11.635,14.949
-24590.767,-120.7291,248.094,5.45656,-1.92771,-0.87209,-0.78002,1.94606,-0.12262,251.333,407.9810486,10.448,15.023
-28609.2222,53.4842,341.623,8.25033,-1.54857,-0.65073,-0.7745,1.91139,-0.9485,314.3612,503.756897,10.398,14.495
-32291.3728,0.0072,446.642,7.55809,-0.88013,0.53369,-0.44531,0.43603,-1.39613,352.4754,653.8265991,11.672,15.071
-29890.2054,25.7628,433.33,3.15322,-0.91671,0.19458,-0.38362,0.22018,-1.30033,375.4664,626.8980713,12.264,14.062
-27437.5085,-163.1283,288.185,1.93686,-0.75966,0.44744,-0.43643,0.3802,-0.75966,200.3204,508.2577209,13.12,16.851
-28485.6479,513.5996,339.883,7.51106,-2.03739,0.12585,-0.7753,1.91069,-1.16243,296.3836,540.8913574,10.402,15.387
-28685.9807,-261.8725,321.713,4.30262,-1.1935,0.51801,-0.43897,0.42562,-1.53534,281.3104,511.5332947,11.628,14.4
-30033.3442,78.1685,323.932,8.30882,-1.51172,0.43627,-0.42134,0.53,-1.49242,327.1232,506.5467529,10.746,15.147
-27477.7593,-5.5058,357.258,0.958449,-1.09445,0.46342,-0.42597,0.38081,-1.44433,289.3736,529.9377441,12.299,15.051
-23835.3627,20.5963,243.084,6.33881,-0.48633,0.46747,-0.48633,0.39994,-1.31932,203.2432,412.8498535,11.983,13.43
-20730.4753,-2.068,182.232,0.0253637,0,-0.01315,-0.07748,0.04029,0,114.2302,332.1711731,15.541,16.996
-18923.273,-47.9644,118.205,5.29755,-0.75725,0.55509,-0.42433,0.41131,-0.75725,88.106,262.5863647,13.253,16.953
-22621.3838,112.6726,183.352,7.93857,-1.44343,0.48468,-0.38681,0.52679,-0.91664,179.1318,337.8959961,10.669,15.814
-29792.2547,-260.972,331.267,3.43566,0,0.07024,-0.08381,0.10505,-0.47419,360.8816,485.2452698,11.064,15.322
-33775.0763,-68.324,447.622,9.04076,-2.3919,-0.07249,-0.79027,1.90446,-1.00866,397.5017,661.3192139,9.494,14.774
-29602.216,26.4465,361.328,3.35612,-0.27125,0.47109,-0.3791,0.66526,-1.3724,309.3305,562.3121338,11.802,15.026
-21218.9079,-56.4524,149.169,6.48699,-1.09854,-0.03705,-0.39001,0.52605,-0.57249,139.1104,296.1435547,10.886,15.343
-23269.0628,-184.7374,205.959,2.53444,-0.75751,0.19086,-0.38075,0.20959,-0.75751,146.229,372.1791687,15.36,16.433
-24038.0417,-25.6475,208.558,0.0587803,0,0.16071,-0.03209,0.07392,-0.16071,260.762,355.1269531,10.332,15.089
-32981.318,33.0011,425.965,8.49777,-1.51773,1.206,-0.46636,0.44962,-1.96239,384.2584,587.7645264,11.684,14.447
-23670.5005,62.6367,227.747,9.97469,-0.9703,1.49273,-0.4891,0.53145,-2.17076,185.2254,402.3886414,13.271,16.004
-22631.9231,-103.8569,180.832,1.39836,-1.14032,1.03916,-0.38503,0.20117,-1.14032,134.1748,372.1161194,15.219,16.627
-24781.6403,-51.0641,227.41,8.48864,-1.99064,-0.01941,-0.78651,1.89595,-1.08448,214.2386,403.2633057,10.565,14.45
-23275.075,-20.3732,269.848,0.00183238,0,-0.81241,-0.05641,0.07,0,228.2928,426.1617126,11.444,14.001
-23409.6538,-363.3012,210.43,4.14252,-0.70113,0.14282,-0.37472,0.23095,-1.07585,167.2072,383.5526733,12.168,14.944
-25833.7905,-71.9836,219.376,0.53561,-2.19127,0.20754,-0.36764,0.53158,-0.60191,227.133,380.2062683,10.198,16.599
