G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,Lsolu_Hsolv,Lsolv_Hsolu
-27867.0012,-336.1304,272.577,2.89481,-0.39656,0.17388,-0.19892,0.10892,-0.60908,287.5293,431.7147217,11.154,14.299
-11814.1944,-2.1118,49.1373,0.000301296,0,-0.32628,-0.16315,0.16316,0,26.0378,153.3953247,14.309,16.64
-26294.505,1.5378,306.89,2.72236,-0.6669,0.25314,-0.36114,0.25299,-1.36613,256.3036,480.0740051,11.822,14.616
-28507.2244,23.6942,393.265,1.27227,-0.3602,-0.12417,-0.37352,0.20031,-0.73372,301.471,563.4611206,12.322,14.999
-34235.1922,-1544.6405,391.784,10.7667,-2.25896,1.16099,-0.46761,0.50534,-2.00347,346.339,548.0637817,11.056,14.484
-25328.3652,-21.8857,239.307,4.99567,-1.11209,0.65394,-0.42632,0.36229,-1.33785,243.6643,381.9944153,11.603,14.839
-25934.3404,-87.9523,256.906,6.52449,-3.4091,-1.08576,-0.7858,1.9491,0.11313,281.316,423.7268982,9.948,16.134
-24639.6975,-756.941,208.041,7.04708,-1.31204,0.48931,-0.51119,0.52105,-1.51669,198.1378,387.242157,9.989,14.386
-29593.9202,173.1842,339.51,1.18581,-1.57057,1.03471,-0.49902,0.51016,-2.18231,300.3134,572.0317383,11.981,14.581
-24131.1861,15.4871,239.238,4.5059,-0.74293,0.1824,-0.43085,0.39044,-1.40991,205.2158,398.8522644,11.933,14.349
-23862.3066,0.634,276.246,0.0029075,0,-0.81013,-0.05921,0.07232,0,228.2928,441.3423767,10.749,13.061
-28179.171,-240.9379,312.597,10.1041,-3.46855,-1.36131,-0.79775,1.94942,0.03089,319.3648,492.1851501,10.38,15.536
-27622.5383,142.7648,304.123,1.26495,-1.57023,1.15261,-0.44513,0.43642,-1.98432,251.2816,489.1829224,11.709,15.211
-36665.5355,836.9046,523.084,3.90869,-1.46088,0.82277,-0.4191,0.42904,-1.46088,390.5618,773.0043945,11.42,15.427
-29536.9634,70.3233,352.782,7.10539,-1.17971,1.05163,-0.47572,0.46944,-2.35958,335.3096,530.4804077,11.097,14.547
-38013.0504,110.3085,521.912,3.92768,-1.91419,1.51126,-0.44645,0.37786,-2.95492,467.348,699.114624,11.751,14.491
-20129.0897,15.8967,165.818,0.00511588,0,-0.061,-0.03129,0.02766,0,100.2034,340.0371704,15.661,16.974
-23705.1737,-18.1794,212.267,3.44962,-1.07032,1.14447,-0.53652,0.52801,-2.61212,186.173,396.4159546,11.714,15.112
-26828.2114,15.5351,319.28,4.94093,-0.43121,0.53553,-0.43121,0.3672,-1.13092,246.3516,476.7664795,12.24,14.721
-20295.2615,-28.8886,137.277,4.7241,-0.47819,0.5388,-0.47819,0.43421,-1.30435,123.114,281.4981995,11.393,15.675
